"section"	"question"	"item"	"type"	"ID"	"description"
"SO"			"section"	"SO"	"Sortieren"
"SO"	3		"question"	"SO03"	"st_intro_text"
"SO"	1		"question"	"SO01"	"st_sort_text"
"SO"	2		"question"	"SO02"	"st_sort_quest_Scr87-126"
"SO"	10		"question"	"SO10"	"st_sort_quest_Scr127-166"
"SO"	11		"question"	"SO11"	"st_sort_quest_Scr167-206"
"SO"	12		"question"	"SO12"	"st_sort_quest_Scr207-247"
"SO"	4		"question"	"SO04"	"de/pr_intro_text"
"SO"	5		"question"	"SO05"	"de/pr_sort_text"
"SO"	6		"question"	"SO06"	"de_sort_quest_Des1-40"
"SO"	13		"question"	"SO13"	"de_sort_quest_Des41-59"
"SO"	8		"question"	"SO08"	"pr_sort_text"
"SO"	9		"question"	"SO09"	"pr_sort_quest_Pro60-86"
"EI"			"section"	"EI"	"Einstieg"
"EI"	1		"question"	"EI01"	"st_03_staffel"
"EI"	1	1	"item"	"EI01_01"	"Staffel 1"
"EI"	1	2	"item"	"EI01_02"	"Staffel 2"
"EI"	1	3	"item"	"EI01_03"	"Staffel 3"
"EI"	1	4	"item"	"EI01_04"	"Staffel 4"
"EI"	1	5	"item"	"EI01_05"	"Staffel 5"
"EI"	1	6	"item"	"EI01_06"	"Staffel 6"
"EI"	1	7	"item"	"EI01_07"	"Staffel 7"
"EI"	1	8	"item"	"EI01_08"	"Staffel 8"
"EI"	1	9	"item"	"EI01_09"	"Staffel 9"
"EI"	1	10	"item"	"EI01_10"	"Staffel 10"
"EI"	1	11	"item"	"EI01_11"	"Staffel 11"
"EI"	1	12	"item"	"EI01_12"	"Staffel 12"
"EI"	1	13	"item"	"EI01_13"	"Staffel 13"
"EI"	1	14	"item"	"EI01_14"	"Staffel 14"
"EI"	1	15	"item"	"EI01_15"	"Staffel 15"
"EI"	1	16	"item"	"EI01_16"	"Keine Staffel"
"EI"	6		"question"	"EI06"	"st_03_folgen"
"EI"	6	1	"item"	"EI06_01"	"Keine Folge"
"EI"	6	2	"item"	"EI06_02"	"Eine Folge"
"EI"	6	3	"item"	"EI06_03"	"Zwei bis fünf Folgen"
"EI"	6	4	"item"	"EI06_04"	"Sechs bis zehn Folgen"
"EI"	6	5	"item"	"EI06_05"	"Zehn bis 20 Folgen"
"EI"	6	6	"item"	"EI06_06"	"21 bis 50 Folgen"
"EI"	6	7	"item"	"EI06_07"	"Mehr als 50 Folgen"
"EI"	2		"question"	"EI02"	"st_04_fan"
"EI"	2	1	"item"	"EI02_01"	
"EI"	3		"question"	"EI03"	"st_05_fandom"
"EI"	3	1	"item"	"EI03_01"	"Beschäftigen Sie sich auch über das wöchentlichen Schauen der neusten Folgen der Serie ""Der Bergdoktor"" hinaus mit der Serie oder ihren Charakteren?"
"EI"	4		"question"	"EI04"	"st_12_SoMe_time"
"EI"	4	1	"item"	"EI04_01"	"Gar nicht"
"EI"	4	2	"item"	"EI04_02"	"1/2 Stunde"
"EI"	4	3	"item"	"EI04_03"	"1 Stunde"
"EI"	4	4	"item"	"EI04_04"	"2 Stunden"
"EI"	4	5	"item"	"EI04_05"	"3 Stunden"
"EI"	4	6	"item"	"EI04_06"	"Mehr als 3 Stunden"
"EI"	5		"question"	"EI05"	"st_13_themen_insta"
"EI"	5	1	"item"	"EI05_01"	"Reisen & Destination"
"EI"	5	2	"item"	"EI05_02"	"Mode & Beauty"
"EI"	5	3	"item"	"EI05_03"	"Sport & gesundes Leben"
"EI"	5	4	"item"	"EI05_04"	"Kunst & Kultur"
"EI"	5	5	"item"	"EI05_05"	"Stars & Sternchen"
"EI"	5	6	"item"	"EI05_06"	"Kochen & Backen"
"EI"	5	7	"item"	"EI05_07"	"Neuigkeiten & News"
"EI"	5	8	"item"	"EI05_08"	"Freunde & Verwandte"
"EI"	5	9	"item"	"EI05_09"	"Comedy & Memes"
"EI"	5	10	"item"	"EI05_10"	"Heimwerken & Basteln"
"EI"	7		"question"	"EI07"	"de_03_folgen"
"EI"	7	1	"item"	"EI07_01"	"Keine Folge"
"EI"	7	2	"item"	"EI07_02"	"Eine Folge"
"EI"	7	3	"item"	"EI07_03"	"2 bis 5 Folgen"
"EI"	7	4	"item"	"EI07_04"	"6 bis 10 Folgen"
"EI"	7	5	"item"	"EI07_05"	"10 bis 20 Folgen"
"EI"	7	6	"item"	"EI07_06"	"21 bis 50 Folgen"
"EI"	7	7	"item"	"EI07_07"	"Mehr als 50 Folgen"
"EI"	8		"question"	"EI08"	"de_17_stil"
"EI"	8	1	"item"	"EI08_01"	"Aktiv"
"EI"	8	2	"item"	"EI08_02"	"Interessant"
"EI"	8	3	"item"	"EI08_03"	"Bescheiden"
"EI"	8	4	"item"	"EI08_04"	"Locker"
"EI"	8	5	"item"	"EI08_05"	"Formell"
"EI"	8	6	"item"	"EI08_06"	"Ehrlich"
"EI"	9		"question"	"EI09"	"pr_12_SoMe_time"
"EI"	9	1	"item"	"EI09_01"	"Gar nicht"
"EI"	9	2	"item"	"EI09_02"	"1/2 Stunde"
"EI"	9	3	"item"	"EI09_03"	"1 Stunde"
"EI"	9	4	"item"	"EI09_04"	"2 Stunden"
"EI"	9	5	"item"	"EI09_05"	"3 Stunden"
"EI"	9	6	"item"	"EI09_06"	"Mehr als 3 Stunden"
"EI"	10		"question"	"EI10"	"pr_17_stil"
"EI"	10	1	"item"	"EI10_01"	"Aktiv"
"EI"	10	2	"item"	"EI10_02"	"Interessant"
"EI"	10	3	"item"	"EI10_03"	"Bescheiden"
"EI"	10	4	"item"	"EI10_04"	"Locker"
"EI"	10	5	"item"	"EI10_05"	"Formell"
"EI"	10	6	"item"	"EI10_06"	"Ehrlich"
"IT"			"section"	"IT"	"Inhaltlich (Tourismus)"
"IT"	1		"question"	"IT01"	"st_20-26_some_recherche"
"IT"	1	1	"item"	"IT01_01"	"Ich habe vor dem Urlaub bei Instagram über den Wilden Kaiser recherchiert."
"IT"	1	2	"item"	"IT01_02"	"Ich habe vor oder während meines Urlaubs andere Tourismusbeiträge vom Wilden Kaiser auf Instagram wahrgnommen."
"IT"	1	3	"item"	"IT01_03"	"Ich habe mir Beiträge von Accounts der Destination angesehen (Bsp.: Visit Tirol)."
"IT"	1	4	"item"	"IT01_04"	"Ich folge den offiziellen Tourismusaccounts der Destination auf Instagram (Bsp.: Wilder Kaiser, Love Austria oder andere)"
"IT"	1	5	"item"	"IT01_05"	"Ich habe mir Beiträge von Schauspieler:innen und der Filmcrew am Wilden Kaiser angesehen."
"IT"	1	6	"item"	"IT01_06"	"Ich habe Instagram nicht genutzt, um mich über den Wilden Kaiser zu informieren."
"IT"	2		"question"	"IT02"	"st_28_some_beeinflussung"
"IT"	2	1	"item"	"IT02_01"	"Beiträge von anderen Touristen im Urlaub am Wilden Kaiser"
"IT"	2	2	"item"	"IT02_02"	"Beiträge von Schauspieler:innen und der Filmcrew am Wilden Kaiser"
"IT"	2	3	"item"	"IT02_03"	"Beiträge der lokalen Tourismussaccounts (Bsp.: Visit Tirol)"
"IT"	3		"question"	"IT03"	"st_34_situation_vor_ort"
"IT"	3	1	"item"	"IT03_01"	"Der Wilde Kaiser erschien mir vor Ort so, wie ich das auf Instagram wahrgenommen habe."
"IT"	3	2	"item"	"IT03_02"	"Es war vor Ort am Wilden Kaiser schöner als die Instagram-Bilder es zeigen konnten."
"IT"	3	3	"item"	"IT03_03"	"Meine Erwartungen durch die Instagram-Beiträge konnte der Wilde Kaiser vor Ort nicht erfüllen."
"IT"	3	4	"item"	"IT03_04"	"Ich habe mir vor dem Urlaub keine Instagram-Beiträge vom Wilden Kaiser angesehen."
"IT"	4		"question"	"IT04"	"st_63_Fantage"
"IT"	4	1	"item"	"IT04_01"	"Bisher kein Fantag"
"IT"	4	2	"item"	"IT04_02"	"1 Fantag"
"IT"	4	3	"item"	"IT04_03"	"2 Fantage"
"IT"	4	5	"item"	"IT04_05"	"3 Fantage"
"IT"	4	4	"item"	"IT04_04"	"Mehr als 3 Fantage"
"IT"	5		"question"	"IT05"	"st_64_reisedatum"
"IT"	5	1	"item"	"IT05_01"	"Ich war vom "
"IT"	5	2	"item"	"IT05_02"	"bis zum "
"IT"	5	3	"item"	"IT05_03"	"im Urlaub am Wilden Kaiser."
"IT"	6		"question"	"IT06"	"st_65_motivation"
"IT"	6	1	"item"	"IT06_01"	
"IT"	7		"question"	"IT07"	"st_66_bd_induced"
"IT"	7	1	"item"	"IT07_01"	"Die Serie ""Der Bergdoktor"" war kein Grund an den Wilden Kaiser zu reisen."
"IT"	7	2	"item"	"IT07_02"	"Die Serie ""Der Bergdoktor"" war ein Grund von vielen an den Wilden Kaiser zu reisen."
"IT"	7	3	"item"	"IT07_03"	"Die Serie ""Der Bergdoktor"" war der Hauptgrund an den Wilden Kaiser zu reisen."
"IT"	8		"question"	"IT08"	"st_68_motivation_serie"
"IT"	8	1	"item"	"IT08_01"	"Ich wollte in die Fußstapfen meiner Lieblingsschauspieler:innen treten."
"IT"	8	2	"item"	"IT08_02"	"Ich wollte selbst einmal an dem Drehort der Serie ""Der Bergdoktor"" stehen."
"IT"	8	3	"item"	"IT08_03"	"Mich interessiert der reale Ort; nicht die relevanz des Ortes als Drehort in der Serie ""Der Bergdoktor""."
"IT"	8	4	"item"	"IT08_04"	"Ich bin ein loyaler Fan und wollte das zum Ausdruck bringen."
"IT"	8	5	"item"	"IT08_05"	"Ich finde die Landschaft einfach beeindruckend und wollte sie selbst sehen."
"IT"	8	6	"item"	"IT08_06"	"Ich habe das Gefühl durch die Serie den Wilden Kaiser zu kennen."
"IT"	8	7	"item"	"IT08_07"	"Ich wollte einfach Spaß haben und mich entertainen lassen."
"IT"	8	8	"item"	"IT08_08"	"Ich wollte etwas Besonderes machen in meinem Urlaub."
"IT"	8	9	"item"	"IT08_09"	"Ich wollte etwas Neues und Ungewöhnliches wagen."
"IT"	8	10	"item"	"IT08_10"	"Ich war auf der Suche nach einer einzigartigen Erfahrung."
"IT"	8	11	"item"	"IT08_11"	"Es war nicht meine Idee, sondern die meiner Reisebegleitung."
"IT"	9		"question"	"IT09"	"st_69_orte_entdeckt"
"IT"	9	1	"item"	"IT09_01"	"Ich habe erst im Nachhinein verstanden, dass es ein Drehort war."
"IT"	9	2	"item"	"IT09_02"	"Ich bin zufällig dran vorbeigelaufen."
"IT"	9	3	"item"	"IT09_03"	"Ich habe sie gezielt aufgesucht."
"IT"	9	4	"item"	"IT09_04"	"Es war Teil einer geführten Tour."
"IT"	9	6	"item"	"IT09_06"	"Meine Reisebgleitung hat mich hingeführt."
"IT"	9	5	"item"	"IT09_05"	"Ein anderer Grund:"
"IT"	10		"question"	"IT10"	"st_71_welche Orte"
"IT"	10	1	"item"	"IT10_01"	"Gruberhof (Elternhaus/Bauernhof)"
"IT"	10	2	"item"	"IT10_02"	"Praxis des Bergdoktors"
"IT"	10	3	"item"	"IT10_03"	"Gasthof zum Wilden Kaiser"
"IT"	10	4	"item"	"IT10_04"	"Krankenhaus"
"IT"	10	5	"item"	"IT10_05"	"Dorfplatz und Kirche"
"IT"	10	6	"item"	"IT10_06"	"Apotheke"
"IT"	10	7	"item"	"IT10_07"	"Hintersteiner See"
"IT"	15		"question"	"IT15"	"st_73_orte_nahe"
"IT"	15	1	"item"	"IT15_01"	"Gruberhof (Elternhaus/Bauernhof)"
"IT"	15	2	"item"	"IT15_02"	"Praxis des Bergdoktors"
"IT"	15	3	"item"	"IT15_03"	"Gasthof zum Wilden Kaiser"
"IT"	15	4	"item"	"IT15_04"	"Krankenhaus"
"IT"	15	5	"item"	"IT15_05"	"Dorfplatz und Kirche"
"IT"	15	6	"item"	"IT15_06"	"Apotheke"
